series~multiDriver
indycar~FALSE
fnippon~FALSE
dtm~FALSE
wec~TRUE
blancpain~TRUE
imsa~TRUE
motogp~FALSE
worldsuperbike~FALSE
f2~FALSE
gp2~FALSE
