"circuit","perim","raceNumber","series","season","numQual","fastestRaceSec"
"melbourne",5303,1,"f1",2016,3,88.997
"bahrain",5412,2,"f1",2016,3,94.482
"shanghai",5451,3,"f1",2016,3,99.824
"sochi",5848,4,"f1",2016,3,99.094
"catalunya",4655,5,"f1",2016,3,86.948
"monte carlo",3337,6,"f1",2016,3,77.939
"montreal",4361,7,"f1",2016,3,75.599
"baku",6003,8,"f1",2016,3,106.485
"red bull ring",4326,9,"f1",2016,3,68.411
"silverstone",5891,10,"f1",2016,3,95.548
"hungaroring",4381,11,"f1",2016,3,83.086
"hockenheim",4574,12,"f1",2016,3,78.442
"spa francorchamps",7004,13,"f1",2016,3,111.583
"monza",5793,14,"f1",2016,3,85.34
"marina bay",5065,15,"f1",2016,3,107.187
"sepang",5543,16,"f1",2016,3,96.424
"suzuka",5807,17,"f1",2016,3,95.118
"americas",5513,18,"f1",2016,3,99.877
"mexico city",4304,19,"f1",2016,3,81.134
"interlagos",4309,20,"f1",2016,3,85.305
"yas marina",5554,21,"f1",2016,3,103.729
"melbourne",5303,1,"f1",2017,3,86.538
"shanghai",5451,2,"f1",2017,3,95.378
"bahrain",5412,3,"f1",2017,3,92.798
"sochi",5848,4,"f1",2017,3,96.844
"catalunya",4655,5,"f1",2017,3,83.593
"monte carlo",3337,6,"f1",2017,3,74.82
"montreal",4361,7,"f1",2017,3,74.551
"baku",6003,8,"f1",2017,3,103.441
"red bull ring",4318,9,"f1",2017,3,67.411
"silverstone",5891,10,"f1",2017,3,90.621
"hungaroring",4381,11,"f1",2017,3,80.182
"spa francorchamps",7004,12,"f1",2017,3,106.577
"monza",5793,13,"f1",2017,3,83.361
"marina bay",5065,14,"f1",2017,3,105.008
"sepang",5543,15,"f1",2017,3,94.08
"suzuka",5807,16,"f1",2017,3,93.144
"americas",5513,17,"f1",2017,3,97.766
"mexico city",4304,18,"f1",2017,3,78.785
"interlagos",4309,19,"f1",2017,3,71.044
"yas marina",5554,20,"f1",2017,3,100.65
"melbourne",5303,1,"f1",2018,3,85.945
"bahrain",5412,2,"f1",2018,3,93.74
"shanghai",5451,3,"f1",2018,3,95.785
"baku",6003,4,"f1",2018,3,105.149
"catalunya",4655,5,"f1",2018,3,78.441
"monte carlo",3337,6,"f1",2018,3,74.26
"montreal",4361,7,"f1",2018,3,73.864
"paul ricard",5842,8,"f1",2018,3,94.225
"red bull ring",4318,9,"f1",2018,3,66.957
"silverstone",5891,10,"f1",2018,3,90.696
"hockenheim",4574,11,"f1",2018,3,75.545
"hungaroring",4381,12,"f1",2018,3,80.012
"spa francorchamps",7004,13,"f1",2018,3,106.286
"monza",5793,14,"f1",2018,3,82.497
"marina bay",5063,15,"f1",2018,3,101.905
"sochi",5848,16,"f1",2018,3,95.861
"suzuka",5807,17,"f1",2018,3,92.318
"americas",5513,18,"f1",2018,3,97.392
"mexico city",4304,19,"f1",2018,3,78.741
"interlagos",4309,20,"f1",2018,3,70.54
"yas marina",5554,21,"f1",2018,3,100.867
